bend_hex	bend_int	lend_hex	lend_int	type	property
AC2A337F	2134059692	AC2A337F	2134059692	float	fGodRaysThreshold
AE468C07	 126633646	AE468C07	 126633646	float3	fWetBlendOp
E77E8065	1702919911	E77E8065	1702919911	float	fWaterIntensitySpecular
A77E854B	1267039911	A77E854B	1267039911	float	fApproximateSSAOWeight
04DBD2DB	3688028932	04DBD2DB	3688028932	float	fHazeFilterStart
ED061D8E	2384266989	ED061D8E	2384266989	sampler	SSSnowSystemCopy
86C90F48	1208994182	86C90F48	1208994182	float2	fUVanimVector
AE93FA01	  33199022	AE93FA01	  33199022	float	fCameraNearClip
873A713D	1030830727	873A713D	1030830727	float2	fSkyBlendTopCloudUVOffset0
4059E837	 937974080	4059E837	 937974080	float2	fWindLeaf1Ripple
DA72ABF3	4088099546	DA72ABF3	4088099546	UAV  	outputCubeMip2
7779F54F	1341487479	7779F54F	1341487479	float	fDOFCorrectParamNear
C2495579	2035632578	C2495579	2035632578	bool 	bIsAnimating
F56D6F4B	1265593845	F56D6F4B	1265593845	cbuffer	CBMhMaterialEM011Local__disclosure
C5929F84	2225050309	C5929F84	2225050309	uint 	iGIDiffuseFlags
82726C66	1718383234	82726C66	1718383234	bool 	bGBufferIdMaskEnable
710EF254	1425149553	710EF254	1425149553	float3	tiling
A1BC612B	 727825569	A1BC612B	 727825569	float	fWakuIntensity__uiUNorm
7392DAA9	2849673843	7392DAA9	2849673843	bool 	bIsPrevious
800E20A9	2837450368	800E20A9	2837450368	float4	LineVecMaxArea
B6280D9A	2584553654	B6280D9A	2584553654	texture	tBroadAreaShadowMap
4EB136EF	4013338958	4EB136EF	4013338958	texture	tSystemSnowHeightDepthMap
E7689931	 832137447	E7689931	 832137447	float	fDepthColorDistanceStart
FF50235F	1596150015	FF50235F	1596150015	float4	fContactShadowLengthCoefs
70153878	2016941424	70153878	2016941424	float	fDisplacementFactorW
4B567EF7	4152251979	4B567EF7	4152251979	sampler	SSPrimAlbedo
35EC9A3C	1016785973	35EC9A3C	1016785973	cbuffer	CBImageEvaluator
220E5D14	 341642786	220E5D14	 341642786	UAV  	rwHistory
766FB1B8	3098636150	766FB1B8	3098636150	float4	projConstant
52B8EFC3	3287267410	52B8EFC3	3287267410	float3	cAxisZ
641524D7	3609466212	641524D7	3609466212	uint 	iGpuUpdateCounter
D72C344B	1261710551	D72C344B	1261710551	texture	DOFAImage
F085408A	2319484400	F085408A	2319484400	texture	tDepthIn
D601A699	2577793494	D601A699	2577793494	float3	BokehNearColor
C9F05FF1	4049596617	C9F05FF1	4049596617	float	fAlbedoBlendFactor
05560B26	 638277125	05560B26	 638277125	texture	gIndirectArgs
81AACEF2	4073630337	81AACEF2	4073630337	=    	0x40800000
C42D3A02	  37367236	C42D3A02	  37367236	cbuffer	CBLUTBlending
2F571A15	 354047791	2F571A15	 354047791	float4	fSnowFieldPreDepthRegion
EFC75147	1196541935	EFC75147	1196541935	float3	causticsTiling
94A9926F	1871882644	94A9926F	1871882644	UAV  	gTileLightParam
EE534D8E	2387432430	EE534D8E	2387432430	texture	tSkyBlendMap
B0B394B7	3079975856	B0B394B7	3079975856	float3	fWaterCustomEmissiveMapFactor//
169DAEAB	2880347414	169DAEAB	2880347414	cbuffer	CBMhMaterialVfxVATDistLocal__disclosure
AAB6C651	1371977386	AAB6C651	1371977386	float4	fAddNormalMaskA__uiSNorm
EBD96A1F	 527096299	EBD96A1F	 527096299	float	dof_single_pixel_radius
3A0C8F2B	 730795066	3A0C8F2B	 730795066	float4	fWeight0
3082F0CA	3404759600	3082F0CA	3404759600	sampler	SSDecalFlow
B0343B91	2436576432	B0343B91	2436576432	float4	fMaterialDamageColor
02FF2672	1915158274	02FF2672	1915158274	float	fFrustumCullAcceptXZ
6F878255	1434617711	6F878255	1434617711	uint 	iNumPerTriangle
7C20B6E4	3837141116	7C20B6E4	3837141116	UAV  	rwTransmittance
96E05587	2270552214	96E05587	2270552214	float	fPartsMaskC__uiUNorm
DE014A9B	2605318622	DE014A9B	2605318622	float	fSkyCurveMapTexelHeight
FC278DD0	3498911740	FC278DD0	3498911740	texture	tPrecomputedBRDFMap
DB9A02E4	3825375963	DB9A02E4	3825375963	UAV  	RwCompressDOFImage
D9A7616D	1835116505	D9A7616D	1835116505	sampler	SSAtmosphereDepth
FF05109F	2668627455	FF05109F	2668627455	sampler	SSFurVelocity__disclosure
818B6CEA	3932982145	818B6CEA	3932982145	float	fPaintMetalC__uiUNorm
45537A27	 662328133	45537A27	 662328133	cbuffer	CBLUTMaking
D0604048	1212178640	D0604048	1212178640	texture	NearResult
070EE760	1625755143	070EE760	1625755143	float	fRefraction__uiUNorm
A59183C4	3296956837	A59183C4	3296956837	float	radius
E51FE87A	2062032869	E51FE87A	2062032869	bool 	bDecalDistortionScreenFade
2A27544A	1247029034	2A27544A	1247029034	float	fAtmosphereScaleHeight
5529ACC7	3349948757	5529ACC7	3349948757	texture	tHistory
37395DBC	3160226103	37395DBC	3160226103	float	fMipBias
C1BBC6A8	2831596481	C1BBC6A8	2831596481	UAV  	tTiledDeferredOutput
B121C6E8	3905298865	B121C6E8	3905298865	float	fArray_Speed
F6B459D7	3612980470	F6B459D7	3612980470	float	fGodRaysShadowThreshold
39630BFB	4211827513	39630BFB	4211827513	texture	tDecalCubeMap
2435171A	 437728548	2435171A	 437728548	texture	tColorFilter1
57B06FA9	2842669143	57B06FA9	2842669143	float	fSnowFieldDitherRate
C08FC041	1103138752	C08FC041	1103138752	float3	fKizuColor__uiColor
4FC732F4	4096968527	4FC732F4	4096968527	UAV  	rwClearLumTrans3
0499B3CE	3467876612	0499B3CE	3467876612	uint 	iLuminanceDispMode
BE0C53EF	4015197374	BE0C53EF	4015197374	cbuffer	CBSnowField2Debug
96483341	1093879958	96483341	1093879958	float	fRefractionRotation__uiSNorm//
DD8E8D6C	1821216477	DD8E8D6C	1821216477	float	fSmokeLifeFactor
FB474211	 289556475	FB474211	 289556475	float	fWindOneSidedBias
64611830	 806904164	64611830	 806904164	float2	fNoiseWaveBorderX
65D43FD1	3510621285	65D43FD1	3510621285	=    	0x3f0e147b
EEC89D22	 580765934	EEC89D22	 580765934	UAV  	tSSShadowBlurMap
176B66C3	3278269207	176B66C3	3278269207	float	fReflectionFactor
44C297FE	4271358532	44C297FE	4271358532	float3	fAdditionalRot
A981AA06	 111837609	A981AA06	 111837609	float4	fPassThrough
F3935884	2220397555	F3935884	2220397555	uint 	iInstanceIndex
CE101D1E	 505221326	CE101D1E	 505221326	float4	fSHCoef
4968AAA6	2796185673	4968AAA6	2796185673	uint 	iGBufferId
1CCB74FA	4201958172	1CCB74FA	4201958172	float	fParallaxAttenDistanceEnd
BA3AB933	 867777210	BA3AB933	 867777210	float	fWaterCustomShadowAttn
B11A38C3	3275233969	B11A38C3	3275233969	uint 	iJointsOffset
547CB1C5	3316743252	547CB1C5	3316743252	uint4	iRegion
CF630125	 620848079	CF630125	 620848079	float	fSkyFlowSpeed
72BCA168	1755430002	72BCA168	1755430002	float	BokehNearCoCScale
7711EEBF	3220050295	7711EEBF	3220050295	float	fWhitecapDepthThreshold
1D5A3961	1631148573	1D5A3961	1631148573	float3	causticsMoveDir
79D46BAD	2909525113	79D46BAD	2909525113	texture	TargetTextureSrv
BDE92565	1696983485	BDE92565	1696983485	bool 	bIsScreenPass
895BEA97	2548718473	895BEA97	2548718473	float4	fGUIFontFilter
555D754D	1299537237	555D754D	1299537237	texture	gBufferHBT
C0DF37A6	2788679616	C0DF37A6	2788679616	float3	fEmissiveMapFactor__uiColor//
4FD06808	 141086799	4FD06808	 141086799	int  	HDAOUseNormal
7BF74EDF	3746494331	7BF74EDF	3746494331	UAV  	tRWSSAOUAV
E7E822E5	3844270311	E7E822E5	3844270311	texture	tTargetDepth
014C5F8B	2338278401	014C5F8B	2338278401	texture	tRMTMap
28E01114	 336715816	28E01114	 336715816	float	BokehFarSmooth
77A57F2A	 713008503	77A57F2A	 713008503	uint 	iSrcNormalOffset
4F9BB33E	1051958095	4F9BB33E	1051958095	float2	fInnerSubdiv
401E2961	1630084672	401E2961	1630084672	float4	fSkyBaseMapFactor
9795B5CD	3451229591	9795B5CD	3451229591	float	fOrdered3x3
433BF8CC	3438820163	433BF8CC	3438820163	texture	tSkyCloudMap1
9FD950E5	3847281055	9FD950E5	3847281055	sampler	SSPrimSceneTex
09C05AE4	3831152649	09C05AE4	3831152649	uint2	iPickPoint
E644DBF2	4074456294	E644DBF2	4074456294	float	fSecondaryExpo__uiUNorm
27077FB2	2994669351	27077FB2	2994669351	float	fWhitecapRoughness
E764BFF8	4173292775	E764BFF8	4173292775	cbuffer	CBMhMaterialNPCEditFaceLocal__disclosure
3C045785	2237072444	3C045785	2237072444	float	fBokehAlphaScale
115F4DCB	3410845457	115F4DCB	3410845457	float	fRimNormalBlend__uiUNorm
41B681BF	3212949057	41B681BF	3212949057	float2	checkerDimInv
433DB5D8	3635756355	433DB5D8	3635756355	texture	ComponentImSrc_Comp1
697FEA26	 652902249	697FEA26	 652902249	float	BokehInfCoCSize
8653586C	1817727878	8653586C	1817727878	float3	fSnowColor__uiColor
A91FB937	 934879145	A91FB937	 934879145	uint 	fMaterialPaintNum
D50DB2AF	2947681749	D50DB2AF	2947681749	texture	ComponentImSrc_Comp0
DAE0FB08	 150724826	DAE0FB08	 150724826	float	fMaxAdditionalVelocity
DF4C9CB1	2979810527	DF4C9CB1	2979810527	uint 	iSnowField2DebugType
F28CE9E4	3840511218	F28CE9E4	3840511218	float	fWetBlendPlaneNormal__uiUNorm//
C9ABCF2E	 785361865	C9ABCF2E	 785361865	texture	tEmissiveMap
76136A96	2523534198	76136A96	2523534198	cbuffer	CBMhMaterialFakeLensLocal__disclosure
619ACC29	 701274721	619ACC29	 701274721	cbuffer	CBSnowField3Geometry
94B0E447	1206169748	94B0E447	1206169748	UAV  	tDepthOut
7707713B	 997263223	7707713B	 997263223	float	fDiffuseChroma__uiUNorm
7243EEE1	3790488434	7243EEE1	3790488434	texture	tAddNormalMap__disclosure
22C4C521	 566608930	22C4C521	 566608930	float4	direction_falloff
6E59E5A5	2783271278	6E59E5A5	2783271278	float	fWaterCustomVolumeBlend
A197B5E5	3853883297	A197B5E5	3853883297	float	fRadialBlurBlurScreenAlpha
1DCB1B09	 152816413	1DCB1B09	 152816413	float	fDecalRoughness
0EFA46A0	2689006094	0EFA46A0	2689006094	cbuffer	CBGUIDistanceField
1DD4089D	2634601501	1DD4089D	2634601501	UAV  	gPrimCsOutVertex
AF0CC654	1422265519	AF0CC654	1422265519	cbuffer	CBMhMaterialFlowLavaLocal__disclosure
42BD0D22	 571325762	42BD0D22	 571325762	sampler	SSSnowHeightNormal
8818C00B	 197138568	8818C00B	 197138568	float	fGodRaysDecay
298DC8F2	4073229609	298DC8F2	4073229609	texture	tNormalBlendMapG__disclosure
ABED16FA	4195806635	ABED16FA	4195806635	=    	0x42340000
F447F4A5	2784249844	F447F4A5	2784249844	float4	fFlowMatControl__uiUNorm
6C3D39A6	2788769132	6C3D39A6	2788769132	float2	fFogHUVOffset
EF56BF1A	 448747247	EF56BF1A	 448747247	bool 	bEnableImagePlane
C8E6BE37	 935257800	C8E6BE37	 935257800	=    	0x3f333333
080B9631	 831916808	080B9631	 831916808	bool 	iNmBlendFlag
860E28EB	3945270918	860E28EB	3945270918	float3	gCollisionSpaceSizeInv
C12830A9	2838505665	C12830A9	2838505665	cbuffer	CBWater
3F836344	1147372351	3F836344	1147372351	uint 	iParticleStride
25B9C66F	1875294501	25B9C66F	1875294501	uint 	iNmDestOffset
DF5C5B62	1650154719	DF5C5B62	1650154719	texture	gOriginalVB
293DBE7A	2059287849	293DBE7A	2059287849	float	fMipScale
6FD03CB2	2990329967	6FD03CB2	2990329967	texture	tAlbedoMap
B7C14DDF	3746415031	B7C14DDF	3746415031	uint3	probesGridSize
BB3C2880	2150120635	BB3C2880	2150120635	float	fLocalWindLeafFactor
09EC75A0	2692082697	09EC75A0	2692082697	UAV  	tSSLRTraceMapUAV
1EDD7953	1400495390	1EDD7953	1400495390	texture	HDRImage
09F8B135	 900855817	09F8B135	 900855817	float4	fAddNormalMaskB__uiUNorm
A8413A51	1362772392	A8413A51	1362772392	texture	tFurNormalBlendMap__disclosure
F0588AF4	4102707440	F0588AF4	4102707440	float2	BokehScaler
44C774DF	3748972356	44C774DF	3748972356	uint2	iSkyAddress
249200E2	3791688228	249200E2	3791688228	UAV  	tDepthMapOutput
7D95CC76	1993119101	7D95CC76	1993119101	texture	FarResult
05C4493E	1045021701	05C4493E	1045021701	float2	fSlopeVariance
9061319F	2670813584	9061319F	2670813584	bool 	bIsPQToLinear
FFFB05F7	4144364543	FFFB05F7	4144364543	texture	gEmitters
33784944	1145665587	33784944	1145665587	float4	fAddColorD__uiColor
3545F9C5	3321447733	3545F9C5	3321447733	texture	gHotLightsSRV
2EDE9526	 647355950	2EDE9526	 647355950	bool 	bUseSkin
9E2A6706	 107424414	9E2A6706	 107424414	cbuffer	CB_BGTexture
00E401FF	4278313984	00E401FF	4278313984	texture	tSrcMap2
4C2BD77A	2060921676	4C2BD77A	2060921676	texture	tTileMaxHorizontal
3925B512	 313861433	3925B512	 313861433	float	fExposureValue
2C68E158	1491167276	2C68E158	1491167276	uint 	iPositionOffset
49277B1D	 494610249	49277B1D	 494610249	uint 	iVertexBufferOffset
F5963B6D	1832621813	F5963B6D	1832621813	UAV  	rwClearLumTrans0
BE513D1B	 457003454	BE513D1B	 457003454	bool 	bUseAnimAlpha
F8C6A964	1688848120	F8C6A964	1688848120	uint3	iSpeedTreeSystemParam
59AAC146	1187097177	59AAC146	1187097177	float	fViewTime
B06A5069	1766877872	B06A5069	1766877872	cbuffer	CBGUIGlobal
D59AEE45	1173265109	D59AEE45	1173265109	float	BokehFarCoCBias
8D19F7D6	3606518157	8D19F7D6	3606518157	cbuffer	CBRenderFrame
3B6C59B5	3042536507	3B6C59B5	3042536507	cbuffer	CBSpeedTreeCollision__disclosure
EA4D22BC	3156364778	EA4D22BC	3156364778	float	fFakeShadowIntensity__uiUNorm//
F30DFC72	1929121267	F30DFC72	1929121267	float4	fWaterCustomUVTransformB
B7C247EB	3947348663	B7C247EB	3947348663	texture	tSkyAlphaMap
40B034EF	4013207616	40B034EF	4013207616	texture	froxelDebug
2F6E91D3	3549523503	2F6E91D3	3549523503	cbuffer	CBWaterWave
3EB8BCDF	3753687102	3EB8BCDF	3753687102	texture	gSunPixelCount
81C47C6C	1820116097	81C47C6C	1820116097	cbuffer	CBAmbientOccluder
574142DE	3728884055	574142DE	3728884055	float2	fScreenScale
FA4CDC8E	2396802298	FA4CDC8E	2396802298	float	fOffset_A__uiUNorm
F12C400B	 188755185	F12C400B	 188755185	texture	intervalPointCount
23781C04	  68974627	23781C04	  68974627	float	fApproximateSSAOEdgeAttenRate//
22100458	1476661282	22100458	1476661282	texture	tSnowField11
72AB0D86	2249042802	72AB0D86	2249042802	float	fUV_Blend__uiUNorm
31FA98D6	3600349745	31FA98D6	3600349745	float3	fFakeLightPosition
F84C2BD8	3626716408	F84C2BD8	3626716408	bool 	bUseFlipUV
F2CDE21B	 467848690	F2CDE21B	 467848690	float	fRimTranslucency__uiUNorm
0D01423A	 977404173	0D01423A	 977404173	float4	fHermiteParam
7321F71E	 519512435	7321F71E	 519512435	UAV  	rwTileIP_Single_nc__uavcounter
1B5F8A17	 394944283	1B5F8A17	 394944283	int  	iIvyFloorWindIndex
DD1F86DC	3699777501	DD1F86DC	3699777501	float	fSSLREdgeAttenRate
2A149DBD	3181188138	2A149DBD	3181188138	float	fFakeShadowLength
0BA64E7D	2102306315	0BA64E7D	2102306315	sampler	SSDetail__disclosure
8EEF0055	1426124686	8EEF0055	1426124686	texture	tWaterBaseDepth
F4F0DAB0	2967138548	F4F0DAB0	2967138548	float	fFogHInvRange
3C0FFC25	 637275964	3C0FFC25	 637275964	float2	fMummyBlend__uiUNorm
04AB84EF	4018449156	04AB84EF	4018449156	float	fSecondaryShift__uiSNorm
96DED530	 819322518	96DED530	 819322518	=    	0x47435000
FE1FC799	2579963902	FE1FC799	2579963902	float	fParallaxMaxSampleNum__uiUNorm//
05D71742	1108858629	05D71742	1108858629	texture	tPrimAlbedoMap
7022504B	1263542896	7022504B	1263542896	texture	gLuminanceBufferSRV
F3C1F158	1492238835	F3C1F158	1492238835	float	fDepthColorBlendCurve
7723C839	 969417591	7723C839	 969417591	sampler	SSVfxNormal__disclosure
CFA13A60	1614455247	CFA13A60	1614455247	texture	tLUT3DMap1
BEAB4096	2520820670	BEAB4096	2520820670	bool 	isGrayColor
538222F5	4112679507	538222F5	4112679507	=    	0x41200000
7F3557D4	3562485119	7F3557D4	3562485119	row_major	uint4x4
218747DE	3729229601	218747DE	3729229601	=    	0x3fc00000
0BB088F2	4069044235	0BB088F2	4069044235	texture	tTiledDeferredNumber
0D7456B8	3092673549	0D7456B8	3092673549	uint 	iPrimVertexBufferOffset
5278A99A	2594797650	5278A99A	2594797650	texture	tCheckerDepth
7F91B14E	1320259967	7F91B14E	1320259967	UAV  	gTileLightCount
45C23D20	 540918341	45C23D20	 540918341	float4	CenterAndScale
3D081348	1209206845	3D081348	1209206845	float4	fPrimOcclusionSphere
B62488BA	3129484470	B62488BA	3129484470	float	fWindFrondRipple_x
1FD1458D	2370162975	1FD1458D	2370162975	texture	holdout
5C08F191	2448492636	5C08F191	2448492636	texture	tFurNormalMap__disclosure
02EA8B94	2492197378	02EA8B94	2492197378	cbuffer	CB_CombinedFilter_ColorCorrect
06F85450	1347745798	06F85450	1347745798	float3	gOcclusionAreaMinPos
C1DADC1E	 517790401	C1DADC1E	 517790401	bool 	bUseUVSecondaryMtBM
5F6986F8	4169558367	5F6986F8	4169558367	float4	fSkyBlendBackgroundCloudHighlightColors
AF4655D1	3512026799	AF4655D1	3512026799	float	fCubemapBlendRate
664A176A	1779911270	664A176A	1779911270	bool 	bEnableFXAA
054350ED	3981460229	054350ED	3981460229	float3	fWindLeaf1Twitch
A3160260	1610749603	A3160260	1610749603	bool 	bUseWaveAlpha
705F3DEB	3946667888	705F3DEB	3946667888	float4	fUVTransformDetailNormal
17DDB6C3	3283541271	17DDB6C3	3283541271	float4	fGeomWorldRange
252E7AA2	2725916197	252E7AA2	2725916197	cbuffer	CBTubeLight
1F6C189A	2585291807	1F6C189A	2585291807	cbuffer	CBSnowFieldBake
1AA4E613	 333882394	1AA4E613	 333882394	cbuffer	CBDevelopColorPick
88D957FF	4283947400	88D957FF	4283947400	texture	WaveParameters
5E514F84	2219790686	5E514F84	2219790686	uint 	fLightShaftShadowMapSize
0CA646A2	2722539020	0CA646A2	2722539020	float	HDAORejectRadius
3106F197	2549155377	3106F197	2549155377	cbuffer	CBMhMaterialNPCHairLocal__disclosure
259AF147	1207015973	259AF147	1207015973	float	fFilmIOR__uiUNorm
72085ED5	3579709554	72085ED5	3579709554	float4	m_color
5B45F320	 552813915	5B45F320	 552813915	float	fDistortionAngle
FC47EFC8	3371124732	FC47EFC8	3371124732	UAV  	gPickCount
2D4D6FF3	4084157741	2D4D6FF3	4084157741	cbuffer	CBLayoutCache
2584475F	1598522405	2584475F	1598522405	texture	tSSShadowMap
782DFE1C	 486419832	782DFE1C	 486419832	float	fLightShaftMinRoughness
7AF27601	  24572538	7AF27601	  24572538	float2	fMaterialDamageBlendRange
2B2EDEE7	3890097707	2B2EDEE7	3890097707	float	fSnowMetalic__uiUNorm
1E2B4704	  71772958	1E2B4704	  71772958	bool 	bEnableColorGrading
4536977A	2056730181	4536977A	2056730181	texture	tSkinMap__disclosure
A4A8B534	 884320420	A4A8B534	 884320420	float	fSupposedVertexDistance
5D086833	 862455901	5D086833	 862455901	=    	0x42c80000
5323678C	2355569491	5323678C	2355569491	texture	tGBuffer2
3859957B	2073385272	3859957B	2073385272	uint 	iCompareStride
5C8FAAD3	3551170396	5C8FAAD3	3551170396	float2	fSkyBlendCloudSpeed3
C27591A9	2844882370	C27591A9	2844882370	float4	fPaintColorC__uiColor
7C86BE84	2227078780	7C86BE84	2227078780	float4	fSplashColor__uiColor
A83757A5	2773956520	A83757A5	2773956520	float	fLinearFactor
1B468EE1	3784197659	1B468EE1	3784197659	cbuffer	CBMhMaterialVfxDistDispLocal__disclosure
26BE94AA	2861874726	26BE94AA	2861874726	float	fRoughnessThreshold__uiUNorm//
0C5B59D7	3612957452	0C5B59D7	3612957452	cbuffer	CBMhMaterialVfxWave
A025FA07	 133834144	A025FA07	 133834144	float	BokehMipmapBias
FD8436F8	4164322557	FD8436F8	4164322557	float2	fSDSubdivLevel0
3B4FBCAE	2931576635	3B4FBCAE	2931576635	UAV  	targetDepthValue
C3C78471	1904527299	C3C78471	1904527299	float4	fDetailB_Color__uiColor
0FA203AC	2885919247	0FA203AC	2885919247	float	hgEccentricity
18724A0C	 206205464	18724A0C	 206205464	cbuffer	CBSHDiffuse
1180FC07	 133988369	1180FC07	 133988369	float	fDecalNormalBlendRate
19BEAA25	 631946777	19BEAA25	 631946777	texture	tAlbedoBlendMapB__disclosure
3F2241A0	2688623167	3F2241A0	2688623167	texture	tMaterialBlendMap__disclosure
3C808AD9	3649732668	3C808AD9	3649732668	texture	tOutlineObjectMap
1B1A5AB1	2975472155	1B1A5AB1	2975472155	texture	tSSLR_EffectRelectionMap
C7EF6509	 157675463	C7EF6509	 157675463	float	fMipFogRotSin
2CC83752	1379387436	2CC83752	1379387436	cbuffer	CBFog
04A28D64	1687003652	04A28D64	1687003652	texture	IgnoreColorMask
44D10D3B	 990761284	44D10D3B	 990761284	texture	gEmitterBinary
B80870AD	2909800632	B80870AD	2909800632	float3	fDistortionFactor__uiColor
A2DAA600	  10934946	A2DAA600	  10934946	cbuffer	CBMhMaterialVfxDebufBodyLocal__disclosure
89A9B39F	2679351689	89A9B39F	2679351689	texture	froxelVolumesMulti
2E1B744E	1316231982	2E1B744E	1316231982	float3	fFinColorB__uiColor
90374A06	 105527184	90374A06	 105527184	float3	fContactShadowOptimizeParams//
8C4441C8	3359720588	8C4441C8	3359720588	float	fConstSinkLength
639ECC7C	2093784675	639ECC7C	2093784675	float	fSHDiffuseInverseScale
EAC34193	2470560746	EAC34193	2470560746	float4x4	crViewProjMatrix
AD0984B2	2994997677	AD0984B2	2994997677	texture	tOpacityBlendMap__disclosure
4525DC01	  31204677	4525DC01	  31204677	texture	tNormalMap__disclosure
9748F181	2180073623	9748F181	2180073623	float	fUserNormalIntensity
E46DC3F9	4190334436	E46DC3F9	4190334436	float	fBlendFurNormalBlend__uiUNorm//
9BD30F03	  51368859	9BD30F03	  51368859	float3	emissive
123F8684	2223390482	123F8684	2223390482	float	fFurTile
9316CC11	 298587795	9316CC11	 298587795	float2	fReprojectionOffset
FE6BEC40	1089235966	FE6BEC40	1089235966	bool 	bBackFaceShading
22D71C55	1427953442	22D71C55	1427953442	float	fHeightMapClipRef
73BA3053	1395702387	73BA3053	1395702387	float	fGamma
94856D4E	1315800468	94856D4E	1315800468	cbuffer	CBWaterCustom
068579F8	4168713478	068579F8	4168713478	uint 	iGpuMode
6926B622	 582362729	6926B622	 582362729	texture	ManualCoCSrc
C98E2C50	1345097417	C98E2C50	1345097417	bool 	bUseFullNormal
D7DEF82F	 804839127	D7DEF82F	 804839127	float3	fWetBlendDir__uiDirection
DB073D5F	1597835227	DB073D5F	1597835227	float	fMetalic
73A9C164	1690413427	73A9C164	1690413427	float	fVarianceGamma
C253F812	 318264258	C253F812	 318264258	uint 	iWaterCustomEnvMapAttn
7FA1E8A7	2817040767	7FA1E8A7	2817040767	cbuffer	CBSnowFieldGeometry
6BF2B362	1655960171	6BF2B362	1655960171	float4	fDimensions
EB2B9F8C	2359241707	EB2B9F8C	2359241707	int  	iDecalShadingMode
C7454243	1128416711	C7454243	1128416711	UAV  	rwFroxelVolumes
